년도,행정동코드,총생활인구수,연령대0_생활인구,연령대10_생활인구,연령대20_생활인구,연령대30_생활인구,연령대40_생활인구,연령대50_생활인구,연령대60_생활인구,연령대70이상_생활인구
2021,11110515,145190072.6537,10050948.8189,14981626.7865,21022426.2096,22138960.1147,26442820.0508,21441855.6752,13015509.5507,16095925.4718
2021,11110530,201157269.317,6812945.7321,9427643.6281,29726342.0616,43640926.1543,42354115.2526,31611896.553,18756232.611,18827167.3147
2021,11110540,48596391.2897,1361386.374,3516363.1325000003,8972479.0129,8899987.511599999,8853889.9137,7428341.5646,5117466.483,4446477.2897
2021,11110550,129996472.3813,7186654.4936,13988591.5469,15757453.7574,16046513.0907,21861064.1909,20869531.0707,16258869.0797,18027795.0693
2021,11110560,166317382.8216,10957808.544,17420681.1005,17864807.4489,18540003.914,26050094.7878,28277155.5173,23157714.4123,24049117.2179
2021,11110570,60804255.3575,4642869.4185,7040835.0611000005,7527715.8056,7199061.5126,9284720.7669,9044678.8931,7439184.3157,8625189.4466
2021,11110580,62382811.9149,5341160.444,5924338.9812,7430187.8547,9455892.3182,11563594.3133,9299248.3102,6341998.1336,7026391.5995000005
2021,11110600,58688225.1266,2602769.1726,5710862.7842,7918262.2695,10751369.1483,11991388.156,9172321.9328,4860035.7525,5681215.9462
2021,11110615,483314015.4683,7468778.2261,13022987.1274,89218672.96689999,99679755.0894,99548605.0847,81013924.0651,51006272.2585,42355020.7446
2021,11110630,144075636.591,1790915.6539,5709589.7543,21772246.919,23557173.8156,24178184.0609,28695194.549,20617269.8901,17755062.0479
2021,11110640,199088667.7807,5132796.0962,10389198.8277,43238165.5317,40169759.2748,32746903.5351,29054105.6385,18760184.8607,19597554.047
2021,11110650,245134824.2542,10020099.5765,29383690.7819,72682125.2205,30769782.5848,32868122.7642,28783300.5509,18331329.8491,22296372.8104
2021,11110670,79346115.1525,1248383.7747,2774284.1814,10530886.7201,12562156.1246,13386201.9731,16336472.6156,12241931.3602,10265798.4189
2021,11110680,84101831.56549999,2629024.427,5621149.3635,12315229.516,10385821.1647,11131921.1838,18287903.9664,12495377.7099,11235404.2361
2021,11110690,42237418.1975,2965285.5007,4058431.4541,5186714.9659,6508391.7382,6671152.4226,6861493.9746,5102528.0284,4883420.1443
2021,11110700,71513348.8876,3514906.9416,4047081.1329,9760849.8993,11008397.2834,11365290.9897,13320170.5899,9327185.2445,9169466.8669
2021,11110710,114352712.7303,3262178.2427,4990347.8453,19363060.1934,19255898.2253,18410309.7283,20339296.1439,15211520.138,13520102.184
2021,11140520,217866503.6959,6029254.737,6506359.670299999,34153043.25,56071866.5044,53998604.5405,35882396.9663,16104461.0242,9120517.0053
2021,11140540,202722264.9867,2887477.758,4163324.3095,28926169.9821,45998253.035,45474522.5806,34945086.3153,22584968.9872,17742462.0884
2021,11140550,257388785.7563,3456160.3008,5638345.0667,49083309.8363,68724054.8339,60757797.4561,38577675.7624,18922634.8509,12228807.6417
2021,11140570,95674814.4872,2604120.1038,5721300.6833,20985234.9896,17607959.809299998,17301071.1235,15267625.9949,8721779.7027,7465722.133499999
2021,11140580,91693288.6002,1562737.8866,3812512.2398,21215738.0345,18732540.9352,16550666.0127,13717254.2685,9062643.4868,7039195.7666
2021,11140590,185314759.4634,2726183.6763,6242683.8699,36191807.8295,40800176.9839,36127008.5654,30116106.0305,19729831.8962,13380960.681
2021,11140605,143556745.21829998,1204492.2665,2190048.2742,21098843.1573,27764966.1268,29719795.0901,29286813.8667,18595356.5845,13696429.837
2021,11140615,200101794.9876,3392399.3681,6227189.8594,35159927.7747,47265839.5876,38239424.49,32077183.1404,21130151.2308,16609679.4516
2021,11140625,129034937.9733,6695046.701,8405721.0922,20183547.2705,23042714.5764,21028047.8299,18780787.0703,15088465.2522,15810608.1943
2021,11140635,135873322.8019,9077485.7089,7703448.0032,15555357.5015,22695672.6163,21875350.4682,19952115.9542,18096415.8407,20917476.6303
2021,11140645,105531817.7311,7607499.4469,8245197.726299999,13457798.3495,17838232.2454,15778334.4243,16288265.6148,11638480.9838,14678008.9088
2021,11140650,94750085.6075,5490078.6076,5789735.1696,14170218.7201,16141197.4862,15371502.5519,16232103.6261,11457349.7041,10097899.7004
2021,11140665,82200674.3698,4847109.6706,6051745.8483,10504406.2265,13205986.7667,12981188.4802,14216145.4427,9984286.5893,10409805.2521
2021,11140670,114271411.7228,7084111.8252,4794942.1702,17905516.8122,24711440.9287,18035338.3821,16484420.4046,12669750.0016,12585891.0755
2021,11140680,80788046.6711,3992541.9786,3658398.2746,10610595.1487,17432066.7471,16700621.1527,13093107.6537,7822574.5254,7478141.2187
2021,11170510,123934106.4674,6767500.0377,8855000.1278,17294259.6859,23304657.9051,21553587.7204,18463431.896,13859928.4561,13835740.6485
2021,11170520,106279255.5697,4182289.0022,6903525.4703,18887963.601,23085653.7664,17399728.4271,12720035.0375,10927703.1899,12172357.1071
2021,11170530,125792556.1934,2754958.7406,5321699.9366,23796867.9442,25808558.0733,23493738.9641,20189815.8071,13272401.8,11154514.9365
2021,11170555,192848674.8205,7698158.6843,16989084.5411,42469564.2036,35158979.9671,28509856.2617,26573968.6633,17815417.6009,17633644.8755
2021,11170560,185108218.4982,11795670.5608,9552637.0627,29141150.7947,43829015.7765,34325630.448,25768229.229,16182290.8284,14513593.7251
2021,11170570,124580855.9856,7889387.3591,11592350.3996,15275710.236,20855340.68,21212009.29,19468734.6174,14173143.0716,14114180.3812
2021,11170580,90909697.8623,6506226.8705,7992234.361,12977109.8014,15972821.1303,14345626.5204,13184755.2467,9095925.0665,10834998.8844
2021,11170590,78991724.608,5623006.6946,6172929.538,10193779.1281,14164701.3632,12505340.0325,11558472.9116,9043188.4475,9730306.4843
2021,11170625,392458775.8439,15284046.5038,18125611.6234,74760096.8554,93253792.7693,76800181.7776,54652930.608,31780606.638,27801509.0207
2021,11170630,240265577.4311,20718621.7778,21978595.1012,22767867.1233,34762459.0012,45820516.9256,38206978.3452,27516774.5242,28493764.5727
2021,11170640,65300246.2913,4606545.9436,4143503.2387,6951601.8704,11386026.0228,10960993.1772,9925177.6107,8742684.2699,8583714.1296
2021,11170650,98114388.6461,2580707.2056,4135785.4054,21527163.7095,21321608.6079,16328895.4606,13669912.6547,9126263.3535,9424052.2826
2021,11170660,99696509.8072,3501522.0104,4738871.4299,16447977.3415,24301914.5192,18692568.8641,12223015.1436,9207602.9611,10583037.431
2021,11170685,274648320.56,11038367.2867,11707894.2704,45708085.594,68566218.296,52158843.1807,37537264.9944,24499244.0463,23432402.9274
2021,11170690,145901056.7954,8003961.5083,13096577.9255,17763121.3133,22488102.1414,28054710.4635,24298206.3514,15765264.6585,16431112.5115
2021,11170700,95230812.2031,3296186.4581,5873631.5532,14917133.1323,18795818.1685,17002599.2316,14418707.695,10868904.684,10057831.2785
2021,11200520,126075015.7425,9290220.972,10584801.8968,17630816.6797,22793287.8893,20442877.9363,18274526.9113,13522407.8872,13536075.4346
2021,11200535,257950596.3449,23083081.7646,16297972.0986,42252760.6713,47396129.0498,40888868.4623,38521284.2189,25624193.6076,23886306.5009
2021,11200540,197555045.0852,11330191.652,15387891.3654,33552449.9556,32064237.7056,29668886.3688,29667684.5549,22050289.8495,23833413.6072
2021,11200550,188850093.2849,7004271.6709,17233872.6157,70092750.7939,27405077.5235,21209848.9491,19111719.2771,13372762.1219,13419790.328
2021,11200560,160549655.1108,8693010.3626,13937116.2133,30722588.233,27766068.9115,26201465.6041,23026188.2466,15295361.2413,14907856.3642
2021,11200570,179648840.189,16349652.5882,18593756.6563,19247967.9985,29009509.0653,30787389.451,24928213.5816,18794588.4547,21937762.5279
2021,11200580,99007858.8247,8628795.4564,10065652.5231,9780929.7434,15748753.7214,17358175.374,14515547.5155,10831601.096,12078403.3579
2021,11200590,144217277.0834,11079196.3652,12578433.9081,13847522.5982,27285175.3357,26002499.5623,19755574.6303,17181058.2577,16487816.3249
2021,11200615,181285548.9303,17395127.2022,14594904.7001,19523537.8478,30578259.2756,29749956.4387,26664280.0027,20310306.0089,22469177.4689
2021,11200620,112347500.7391,10500316.6992,6965179.8333,10717514.7561,20992512.2622,19817042.6886,16110581.9919,13302207.0003,13942145.4874
2021,11200645,257494300.5911,26154562.3726,16273251.5958,26563065.7483,48873531.4217,47154641.5495,34280401.8106,28296520.0129,29898326.116
2021,11200650,166383023.9376,8950899.7405,10847447.1065,27363107.8284,34096805.8441,28046621.9691,26318718.3537,17587480.5624,13171942.3054
2021,11200660,181595113.6438,9106878.2288,10630310.8385,34726376.9443,39583622.8181,31934972.6445,24700375.2039,16662393.4265,14250183.3493
2021,11200670,173335274.8169,9419407.3954,9563882.4507,26222101.8568,33515529.7641,28736316.78,31389507.3907,20472266.1817,14016262.8685
2021,11200690,280822657.875,10457120.1966,10396116.0474,60181807.5586,66010095.2391,50728252.7999,41251396.3286,24187788.5924,17610081.2339
2021,11200720,95437480.1966,3786080.0379,5116678.4146,19752084.8055,18253081.6317,15710704.7502,14492733.2032,9941562.4702,8384554.8997
2021,11200790,176775151.6066,6318913.858,11207903.5613,32060652.0931,30159574.4218,29648621.4153,28855322.2179,19370894.2219,19153269.5906
2021,11215710,302544015.3007,7129939.6231,19353872.2113,124172717.2389,53368825.0278,33117009.0677,28663610.084,20212858.7698,16525183.229
2021,11215730,171243692.5621,6636613.4082,10942743.8354,47805116.3438,33034377.4981,23093637.9623,20837534.6582,14881467.0872,14012201.7285
2021,11215740,138808505.6386,7775857.356699999,7462009.8144,24059833.9983,27179442.4386,21182712.9169,21550668.954,16244004.1121,13353976.1274
2021,11215750,160962390.802,10654273.9359,11951024.6926,25843229.447,30138108.6569,24176514.3431,24922080.8472,17570771.54,15706387.3297
2021,11215760,136844696.0018,8414482.6281,9499094.2203,18659024.2977,22793247.4885,20910835.3351,23067478.8106,16913122.972,16587410.3699
2021,11215770,225448236.5644,14830407.6212,19632025.8746,29879682.742,34486438.6615,31914674.7874,36989954.3998,29332748.279,28382304.07
2021,11215780,134561330.0865,8713890.4606,8676856.9233,26632199.3769,27604230.4054,20319061.509,17075865.3138,13209333.8338,12329892.2056
2021,11215810,322665592.0686,31698237.8707,53730005.0607,34703105.3253,37671251.4085,62254571.2213,47991612.4186,28632770.1585,25984038.6013
2021,11215820,219098176.6635,8987473.3768,16591722.7482,44306143.1463,38263698.7767,33890988.3201,33160776.5237,23275899.7147,20621473.8464
2021,11215830,186676101.3135,13788055.2917,14597468.8537,26419606.6194,33152363.4216,29649717.5898,27509192.0689,22289121.0615,19270576.3938
2021,11215840,208777140.0438,16692454.7144,20375228.7045,31667427.8443,34364856.9184,33503151.0279,31057576.2311,22257956.7621,18858487.8261
2021,11215847,216477825.0041,8971466.358,13147979.0422,42933316.6138,36194685.9758,32859786.9877,35859889.2171,25399333.2369,21111367.4793
2021,11215850,216495402.8615,12006788.9942,16511145.3975,40644392.609,40951757.7542,35299937.6304,30538790.1992,20934310.0371,19608280.2021
2021,11215860,189046644.0309,13757698.1204,19830278.0989,24871543.9276,27876456.3342,31322146.9519,28874826.433,21539593.1192,20974101.1646
2021,11215870,274562592.8088,22204119.9851,29326636.1513,38000753.9726,42468786.5974,47361988.3053,42526749.978,28468633.6671,24204924.0375
2021,11230536,342407993.3142,13598294.2162,17846024.5779,59339811.5782,58970045.445700005,53063430.4458,54571125.5135,41883295.2634,43135966.1326
2021,11230545,281618532.0756,12560833.6437,18299514.5371,55318059.0821,34262939.7644,35442249.587,40547865.9502,37530576.0187,47656493.7074
2021,11230560,282892279.0064,17488808.6241,22893213.6716,48809646.5111,41029240.1132,42565888.0461,41616172.3159,32912023.5007,35577286.2426
2021,11230570,147701349.5604,13146998.0628,16993678.05,20128326.1238,19097639.1711,23391673.2806,20805484.9982,16444653.8592,17692895.9329
2021,11230600,201136481.5443,18725426.3558,15434703.5536,25029915.9509,35440738.7533,33911826.422,29222255.6327,21797252.011,21574362.6571
2021,11230610,202588402.9745,12381265.5584,14665699.9576,23041320.5511,32589663.6739,32623372.7868,32642405.9023,26368053.4789,28276621.0585
2021,11230650,302662683.9562,17284914.5426,17760629.7592,41764986.632,58357425.36,52769075.9291,47061150.0709,36501875.3297,31162626.3037
2021,11230660,244623300.2487,22768090.6388,24262637.9626,27708775.6769,38960162.9854,41973073.6838,35655929.3026,26277814.0991,27016815.8154
2021,11230705,160452055.0725,6673194.1348,9807867.8045,22322273.2321,20490684.1115,21763226.8875,25866077.2785,24282355.2842,29246376.263
2021,11230710,179388215.5584,8634172.383200001,15826199.5211,56525272.745,23787740.2151,20661448.7237,19465494.8486,14911809.579,19576077.5941
2021,11230720,143851531.5779,5794108.8621,11127615.5941,40080569.4126,20549352.1058,18053537.8215,18738859.9386,14090898.1954,15416589.6657
2021,11230730,173644632.2904,10907053.3004,17844725.7756,39015506.3074,22265544.2533,23039101.0485,23263853.3046,17964035.9369,19344812.2941
2021,11230740,203541051.1366,8235253.192299999,20770672.1524,68260222.9467,23599006.8357,23703290.1533,22271133.7088,16483636.7493,20217835.5827
2021,11230750,141211751.4436,10498299.6082,14550870.7327,17477563.0855,18683880.0639,22440941.0479,20039644.5146,15831607.0304,21688945.506
2021,11260520,184213115.694,13364614.0678,14358527.5135,22422420.5972,25242865.8707,28796596.5938,32542347.7109,22551429.3041,24934314.1618
2021,11260540,149741610.866,11110561.2025,11298367.2899,17920262.3442,23691682.5259,23434184.24,23270101.1135,20197459.4241,18818992.7581
2021,11260550,95817923.2171,6754588.4471,7415825.6939,10989827.5594,15392835.3804,15336668.1402,16061135.5111,12055924.4332,11811118.0524
2021,11260565,249576733.5081,14297740.3606,16457181.0768,36458096.1444,39349472.5728,36497060.6492,44281773.5229,30758058.6796,31477350.3811
2021,11260570,177826190.7893,11150959.8514,11722890.2151,22458679.836,27253795.5431,26871103.2385,29029892.7959,24236169.5813,25102699.6655
2021,11260575,175877670.8111,9742113.9351,13310046.0647,25385260.2311,26049533.686,26636723.9915,29640972.7054,22123737.9753,22989282.2289
2021,11260580,163965886.7497,12620098.4311,14605564.9363,22588674.2516,26194964.0562,23550731.341,26034554.8267,19771678.9263,18599619.9277
2021,11260590,217253801.9711,8541245.3124,10089547.9617,40851403.1103,41599662.2295,32414031.3181,35510401.7516,25469293.1209,22778217.12
2021,11260600,149403583.7515,14381802.9473,13194371.109,18757712.8612,22059306.5723,20526711.2921,22484131.1281,18673879.1225,19325668.6126
2021,11260610,229206329.9598,13269891.9582,14236900.494,29829384.9356,32885331.5997,32304214.326,40819524.4945,32239744.1454,33621338.0186
2021,11260620,233243368.2212,17260236.0071,20927886.9264,30461536.2129,34405417.051,36992001.7956,34343022.2966,29025082.8223,29828184.7661
2021,11260630,160211865.914,10414054.7219,10971595.7325,21075163.49,25462949.37,24359888.0803,26563769.7279,20964774.9194,20399669.8697
2021,11260655,320022219.0797,21225932.8853,25399884.1837,39157740.3211,45333413.0041,47849485.575,55978989.5429,44740349.453,40336424.0311
2021,11260660,108601255.814,6388836.3578,8423772.5775,14025286.8448,13733033.972,15473674.8953,19614298.4496,15431149.9781,15511202.6449
2021,11260680,302923907.4014,33392284.7787,28947385.8128,33066612.0352,40712606.5193,46455608.0912,48097152.1468,36937456.5629,35314801.1907
2021,11260690,160707173.3766,12019439.8075,15830044.901,17923985.7305,22700858.6757,23208726.1071,26082813.5063,20748675.3304,22192629.2612
2021,11290525,187695411.7609,11865191.6145,18175463.7586,26326900.7799,27658434.7275,28912175.7273,29190418.5651,21313571.9673,24253254.6821
2021,11290555,223223942.5682,12419452.528,22305912.8227,44415820.1665,34722682.8248,34533289.6853,31326226.3003,20637728.6072,22862829.5429
2021,11290575,225068958.5334,13011194.81,25033925.8711,55264119.3792,33420915.3872,31986895.6627,26989002.781,18205834.7983,21157069.7532
2021,11290580,120124719.5664,8201795.0565,13694927.2454,13979902.3816,15365651.0748,18039911.2667,18340187.626,15345193.8486,17157150.978
2021,11290590,133859165.9454,14500476.8849,16589322.1522,13930334.9646,17479221.2158,22369453.7821,20030068.2323,13868555.9366,15091732.7444
2021,11290600,216834398.0115,6042721.9413,22978882.3728,76288537.2832,29524175.9887,22546900.337,23515488.9286,16747648.9553,19190042.0286
2021,11290610,138683681.1297,9168282.2118,10011524.3778,24277948.6661,21426263.0403,19790685.5658,21762588.5601,15789031.0093,16457357.6502
2021,11290620,126846483.9889,11825742.2114,14349978.7216,14494434.5679,17104560.6932,21877046.447,18417909.1595,13133697.9912,15643114.1084
2021,11290630,179549403.75,15166144.4751,16249073.1254,24051296.8705,25352115.4619,27672030.2673,26007367.7028,21467285.7691,23584090.1756
2021,11290640,131745669.1189,6562845.8475,12275590.8328,34134361.1266,16361152.2789,15846343.435,16713476.304,13436645.413,16415253.8844
2021,11290650,164185271.9542,12013952.1382,15476126.3082,21639702.1803,21432519.3048,25903511.9135,22592481.5029,20928404.5142,24198574.2065
2021,11290660,310127640.8687,44707818.967,46085239.0342,27830030.7383,36204983.7276,58448364.0241,38999800.5735,26189059.8526,31662343.7672
2021,11290685,144643974.9257,10597244.2492,14227766.3276,16822792.2573,20044700.9537,24906680.9537,22355195.1237,16709354.9968,18980240.0435
2021,11290705,342120934.6787,25273562.2107,34589591.3618,55308345.8256,46177050.4059,51313420.9885,50268248.557,36091169.5423,43099545.9211
2021,11290715,204912652.775,21814164.9191,24465424.0543,23364734.4544,27303416.8166,32371425.2907,28927339.1077,21846949.4071,24819198.5893
2021,11290725,203654747.9824,15257929.3901,17667330.6227,34653715.6729,30067159.8959,29616542.5097,30033544.7367,23020342.7084,23338182.434
2021,11290760,168048248.2585,12259793.8711,17228482.7908,21268858.7485,22652314.6782,25413788.2937,27136847.7381,21153346.0054,20934815.8828
2021,11290770,106953463.3139,6204162.3101,8659908.448,14508709.7974,13786055.2634,15626358.9806,17189345.3998,14602799.5299,16376123.586
2021,11290780,62536316.3472,4288182.8534,5855541.2547,8290515.5406,9308906.5554,10095073.1563,9355897.7756,7915949.0337,7426250.1996
2021,11290810,252328853.3576,17114293.1317,19943451.4381,36496706.2417,34211340.8103,38271581.5114,38416829.5147,31816918.3854,36057732.4262
2021,11305534,210693278.0094,14921073.0025,20135385.5134,24244269.2101,26838397.0623,31610910.4231,32734722.5463,26212275.7555,33996244.3775
2021,11305535,196330810.7396,7710256.0123,13408331.5675,32169634.551,25107799.3824,27219192.5318,33487640.9078,26621017.9469,30606937.9768
2021,11305545,304956710.7858,18115282.9846,25038080.4221,41949818.2132,40456187.9035,45920492.3124,49657742.7839,38115158.4256,45703947.8235
2021,11305555,235243155.1527,14898373.2862,20461184.5994,25755823.9135,28922242.1744,36415413.5779,39347260.9961,30738212.9879,38704643.7249
2021,11305575,204386507.5573,23522250.4386,27135244.7917,17523488.2266,24093237.7423,38681403.7483,28187746.8822,19994594.108,25248541.5467
2021,11305590,162714660.1733,6350405.9351,10253469.0107,27941058.849200003,23582191.8947,25833454.8105,26006251.5975,19525869.2253,23221958.9025
2021,11305600,122566083.2884,7783833.9769,10132303.8522,15281846.7884,14530887.0613,17692786.6402,19105574.5624,16578305.5651,21460544.9864
2021,11305606,139219091.014,10323430.859,12322964.2202,14309150.1603,15124295.4135,21416012.2588,21614585.8161,18682226.3292,25426425.7556
2021,11305610,165576918.3549,9651698.1215,12987571.4358,23405902.4307,20555466.0694,22705388.0968,26741888.5307,22200346.5025,27328657.3311
2021,11305620,172282177.0885,11727567.11,13850322.1621,20765621.3207,20659880.186,25210237.3972,27717011.3762,23252686.125,29098851.3569
2021,11305630,241857682.3587,9995482.1327,13734019.7268,46040164.4147,35396722.1944,36388284.3311,38950328.9481,29385988.7521,31966691.7596
