자치구,행정동,행정동_코드,1인가구_비율,연령대_2030_거주인구수_합,주요경제활동인구_생활인구수,수거함개수_당_거주인구수,SCORE,최종_스코어
광진구,중곡4동,11215770,0.3947140759034017,0.16375566401785593,0.08825297007653288,0.0103336013391504,0.33,21.85430463576159
광진구,구의3동,11215870,0.33393772468125377,0.20211635943151413,0.2156307445755402,0.011025583571682596,0.39,25.82781456953642
동대문구,용신동,11230536,0.7947244708214367,0.3853750689094161,0.40654230946432424,0.09098577811754471,0.84,55.62913907284768
동대문구,전농1동,11230560,0.5972845436061489,0.1710365320748121,0.22821024332796724,0.03353148189642674,0.51,33.77483443708609
동대문구,답십리1동,11230600,0.40762896009978355,0.2168528901617523,0.055054873901088486,0.018390251617920184,0.35,23.178807947019866
동대문구,답십리2동,11230610,0.35775482938804665,0.12213437672273544,0.045754289637025214,0.004066219404499805,0.26,17.218543046357617
동대문구,장안2동,11230660,0.2982050478638972,0.17429712395627453,0.12612605361011114,0.14680567820849055,0.37,24.503311258278146
중랑구,묵1동,11260620,0.3267933560264004,0.24210398935097405,0.09832032046140865,0.2268350709776059,0.44,29.13907284768212
중랑구,망우본동,11260655,0.4907988248866012,0.1447635566670701,0.27731931873847604,0.07993383331795578,0.48,31.788079470198678
중랑구,신내1동,11260680,0.1523488767069186,0.23538111949228896,0.20867138102927263,0.37269833528845764,0.47,31.125827814569533
성북구,길음1동,11290660,0.09447160145544836,0.10148172051685425,0.1851490567241192,0.25887055319036745,0.31,20.52980132450331
성북구,종암동,11290705,0.44483130788436986,0.31969263039006085,0.32796965417886936,0.38169410431137885,0.72,47.682119205298015
강북구,송중동,11305545,0.47567162379001693,0.13164051470291652,0.2418222477383798,0.04519303009134168,0.44,29.13907284768212
강북구,삼각산동,11305575,0.1618860480135617,0.041661624514272695,0.003128880169636472,0.10528674425654727,0.15,9.933774834437086
강북구,인수동,11305660,0.3834053759080026,0.0949201995347774,0.12011862684310132,0.07771289986687568,0.33,21.85430463576159
도봉구,창2동,11320512,0.28613855084454615,0.12450754978285142,0.14488412083459246,0.02498714890139575,0.29,19.20529801324503
도봉구,방학1동,11320690,0.37579047639435603,0.052613179514070976,0.04779129847244201,0.006478271757898391,0.23,15.2317880794702
노원구,월계3동,11350580,0.3232081876633967,0.11690398397267834,0.07686884107929248,0.05751690413739485,0.28,18.543046357615893
노원구,공릉1동,11350595,0.5943192634164304,0.3985048337434285,0.4204129094992256,0.30670959153277355,0.85,56.29139072847682
노원구,공릉2동,11350600,0.384648469916436,0.39640729834751864,0.39038540097816277,0.3882349839855539,0.77,50.993377483443716
노원구,중계2.3동,11350625,0.3463059259215026,0.14317695938042044,0.1840657933324089,0.22246569745218725,0.43,28.47682119205298
노원구,상계1동,11350630,0.25868858996399696,0.2625415137213774,0.2774173659271991,0.3594880649540655,0.57,37.74834437086093
노원구,상계6.7동,11350695,0.3166179611692131,0.21454022293036462,0.4677545752174538,0.15947224821732164,0.58,38.41059602649006
은평구,녹번동,11380510,0.406074814962206,0.3352896884622109,0.25368606552179207,0.3037900855421847,0.64,42.384105960264904
은평구,불광1동,11380520,0.36225596112708086,0.3082368601508611,0.19525519797618596,0.3751729955581331,0.61,40.397350993377486
은평구,구산동,11380560,0.2542014168158196,0.14881744719185733,0.06559047492213582,0.1388478825343682,0.3,19.867549668874172
은평구,응암1동,11380580,0.4378804458293686,0.2426754332889624,0.11522495114823489,0.13158536424626655,0.46,30.4635761589404
은평구,역촌동,11380625,0.35476102064401954,0.4816398424159305,0.3920763192336848,0.6278849068789618,0.91,60.264900662251655
은평구,진관동,11380690,0.2580595032823973,0.5266225646403937,0.6701146069039412,1.0,1.19,78.80794701986754
서대문구,연희동,11410615,0.7067923507050748,0.4969276484745808,0.41466720905255894,0.24836889902331616,0.93,61.58940397350994
서대문구,남가좌2동,11410700,0.46301977512099013,0.16965834375378167,0.01779633661524943,0.04437253687276721,0.34,22.516556291390728
서대문구,북가좌2동,11410720,0.42060928013434185,0.1785392548371049,0.2704278609328601,0.12304432640472385,0.49,32.450331125827816
마포구,공덕동,11440565,0.5181801550759982,0.46714533500060496,0.40011532887230183,0.3199725843229775,0.85,56.29139072847682
양천구,목1동,11470510,0.048860990278209934,0.0,0.44088672823619557,0.08845180508508088,0.28,18.543046357615893
양천구,목2동,11470520,0.3880127424462806,0.27397711535100105,0.07030482228105533,0.054709433365406124,0.4,26.490066225165563
양천구,목5동,11470550,0.0,0.1271294690277385,0.25568636211820983,0.4695989139174097,0.4,26.490066225165563
양천구,신정3동,11470640,0.21589725818012648,0.4272316566495905,0.2898065825122004,0.7460392255071238,0.81,53.642384105960275
양천구,신정4동,11470650,0.5105612957369504,0.27725787584203937,0.22378334574863246,0.15944918214290382,0.58,38.41059602649006
양천구,신정7동,11470680,0.23553758130133226,0.011657456334960294,0.0,0.027346478798982332,0.13,8.609271523178808
강서구,염창동,11500510,0.19863861703780847,0.47839269627418557,0.252316679534366,0.48182393335881546,0.71,47.019867549668874
강서구,등촌3동,11500535,0.5057968925335217,0.15627310986513923,0.33466065198121075,0.0852818674293847,0.53,35.099337748344375
강서구,화곡1동,11500540,0.5812860265315697,1.0,0.5734486864969444,0.8490127720149199,1.51,100.0
강서구,화곡본동,11500590,0.5025343025147693,0.4389899560324311,0.17363025977066793,0.2110545809223794,0.67,44.37086092715232
강서구,발산1동,11500611,0.1367519679037829,0.16870369623384832,0.22683256540835417,0.2878052959706865,0.4,26.490066225165563
강서구,우장산동,11500615,0.17250897350423372,0.30256948085998964,0.25464124720045833,0.5302989363244537,0.61,40.397350993377486
강서구,공항동,11500620,0.5093918998050098,0.22741451870974688,0.2870072602643412,0.053101398463140104,0.54,35.76158940397351
구로구,신도림동,11530510,0.16092472636375987,0.2851370793164186,0.2597159450025154,0.26362875482739967,0.49,32.450331125827816
구로구,구로5동,11530560,0.5550678511102892,0.30541325481021325,0.29384105841932584,0.025893316110664255,0.6,39.735099337748345
구로구,개봉1동,11530740,0.31271054394069214,0.2348231212940179,0.13078173606699217,0.19844402852284837,0.43,28.47682119205298
구로구,개봉2동,11530750,0.19631908811903756,0.12370752826966783,0.04679904973405985,0.09457420026624841,0.23,15.2317880794702
구로구,오류2동,11530780,0.23965509459659443,0.2314616863646755,0.5124649065548883,0.35893447916803956,0.66,43.70860927152318
영등포구,영등포동,11560535,1.0,0.6008027106611269,0.7456704048866745,0.010560966929839433,1.2,79.47019867549669
영등포구,당산2동,11560560,0.6283712182106024,0.6679507348096756,0.4058282594667395,0.31917845233230957,1.03,68.21192052980133
영등포구,문래동,11560605,0.2664587247757491,0.24765707985424829,0.436882042448986,0.15516218745469157,0.55,36.42384105960265
동작구,노량진1동,11590510,0.5455657998362052,0.3338442714425934,0.40641596181250805,0.12191079360476609,0.71,47.019867549668874
동작구,상도1동,11590530,0.594855652764465,0.6869159506810267,0.4721957261100622,0.5740322134205009,1.16,76.82119205298012
동작구,상도2동,11590540,0.4565105488468165,0.19907762225538844,0.042270124429982237,0.0,0.35,23.178807947019866
동작구,흑석동,11590605,0.44109982303872064,0.21482930633428804,0.21647852112286592,0.1153237817817554,0.49,32.450331125827816
동작구,대방동,11590660,0.501306961466436,0.38771462762023856,0.41614878069857686,0.35317784602406777,0.82,54.3046357615894
관악구,행운동,11620575,0.8857633118693075,0.5201349952267625,0.13225156974403407,0.017220472129591657,0.79,52.317880794701985
관악구,청룡동,11620595,0.9881415003474728,0.8788269936670569,0.46899884784627843,0.24513964860483184,1.32,87.41721854304636
관악구,은천동,11620605,0.522106322841599,0.30915789332150106,0.1533688289976325,0.17663999789110152,0.58,38.41059602649006
관악구,미성동,11620765,0.41942546814349346,0.18976644750110921,0.032912679026585456,0.08069830892722973,0.36,23.841059602649008
서초구,서초3동,11650530,0.5034484043218312,0.3311013405402498,1.0,0.13661047331584686,0.99,65.56291390728477
서초구,서초4동,11650531,0.10791622981179072,0.04468691595068109,0.46374494036468106,0.08990826292688703,0.35,23.178807947019866
서초구,반포1동,11650560,0.5332666886562955,0.24035604318771614,0.30748526183763925,0.17219154068196496,0.62,41.05960264900662
서초구,양재1동,11650651,0.3433613284764517,0.39071975044707086,0.5999494943515673,0.5434564842030343,0.92,60.9271523178808
강남구,삼성2동,11680590,0.47084416979827304,0.1605017950062523,0.46855712290709806,0.04630349681688162,0.57,37.74834437086093
강남구,대치2동,11680610,0.104613246431777,0.10275234292014582,0.5517403830939371,0.2895780885473642,0.51,33.77483443708609
강남구,역삼2동,11680650,0.4443138538012513,0.22066475737162689,0.6998508190854722,0.27932357089193194,0.8,52.980132450331126
강남구,도곡2동,11680656,0.06862612536731501,0.06049910585830888,0.1718454271201103,0.1774506056492109,0.23,15.2317880794702
강남구,세곡동,11680700,0.3557896911156058,0.3895835854409532,0.35395218981641574,0.5469098050587193,0.8,52.980132450331126
송파구,오금동,11710570,0.21766735681635238,0.3314912669920535,0.282731641428432,0.37227326048847353,0.6,39.735099337748345
송파구,석촌동,11710600,0.6159412790639397,0.4367176260201955,0.30019571558547853,0.1202961683955237,0.75,49.668874172185426
송파구,삼전동,11710610,0.6107279373463795,0.39182902397375396,0.2426207276535356,0.08005245884353274,0.67,44.37086092715232
송파구,가락2동,11710632,0.18807904811148227,0.20504080782004236,0.12084203524421583,0.1453821719015671,0.33,21.85430463576159
송파구,문정2동,11710642,0.7521183467745942,0.45260376749626874,0.5769030150202535,0.018222198790019517,0.91,60.264900662251655
송파구,장지동,11710646,0.26439945477936194,0.16633724604359115,0.25158799251437525,0.03771303167301521,0.36,23.841059602649008
송파구,위례동,11710647,0.04018016579985873,0.20006588412461518,0.25360087601906045,0.21331176106183025,0.35,23.178807947019866
송파구,잠실2동,11710670,0.023774898174271093,0.04347679937611771,0.20272761863209976,0.2481777801209979,0.24,15.894039735099339
송파구,잠실3동,11710680,0.01362843936295122,0.10813736167695268,0.29939651873156903,0.21941768047555654,0.31,20.52980132450331
강동구,강일동,11740515,0.16435831991968664,0.2014911325346564,0.4314043720138917,0.2712768060736268,0.53,35.099337748344375
강동구,암사1동,11740570,0.3969912141905595,0.2533446277546961,0.1473022511907982,0.22530611975905845,0.5,33.11258278145696
강동구,천호2동,11740610,0.5585431130863046,0.337145200543208,0.46534229401671967,0.17854459660731004,0.77,50.993377483443716
강동구,길동,11740685,0.46595089576914106,0.599908568969922,0.5674313926317364,0.6300728887951597,1.12,74.17218543046357
