자치구,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,PET 총량
강남구,589293640.57655,35427182.397358336,59128099.92741667,91704881.9665,114468021.37798333,113560570.01775,77444000.296375,51433684.10365,46127200.296574995,71046,53275,44046,37272,7736,1488,371,154.41666666666666,33177.916666666664,54883.0,71170.75,76109.33333333333,92528.83333333333,77089.25,58011.58333333333,32993.833333333336,11749.0,2105.083333333333,2782.0,3645.0,6117.0,5555.0,165890.0,50825.0,2680.0
강동구,367237577.6493083,29487113.21578333,36491623.250375,42774179.970375,57018980.571225,60779705.07876667,54864200.80416667,45173631.543858334,40648143.186016664,50316,47737,39447,31455,6659,1241,282,125.16666666666666,29137.083333333332,33109.333333333336,53416.083333333336,62451.666666666664,64231.25,62544.08333333333,57224.666666666664,27460.583333333332,9633.416666666666,1619.9166666666667,1606.0,1097.0,1855.0,3263.0,47030.0,13467.0,2886.3
강북구,214773113.6443,13591852.674016666,17587277.243133333,28645192.03805,27391565.753666665,32460737.836208332,34199780.37015,27251014.860516667,33645692.890366666,45685,36432,25261,17339,4048,836,204,78.33333333333333,13542.583333333332,19494.583333333332,38369.58333333333,34532.75,41306.666666666664,47559.33333333333,42903.25,27084.0,11068.083333333334,1329.9166666666667,864.0,1472.0,932.0,1983.0,43348.0,8292.0,1147.1
강서구,393268132.80793333,30179925.945783332,32060745.988341667,54847333.997033335,71995652.637125,64580176.26348333,53837095.17955833,43626109.94991666,42141092.772925,86172,65175,47721,35598,7673,1416,342,109.5,34746.0,40281.25,79235.83333333333,90062.25,82489.16666666667,77779.16666666667,71892.66666666666,35840.083333333336,13982.666666666666,2298.8333333333335,1561.0,2027.0,2501.0,4580.0,64909.0,19754.0,1706.3
관악구,368032523.31166667,18034690.187233333,24934230.635741666,81594708.03461666,68840039.26730832,54077050.104175,46508307.23646667,35822742.247541666,38220755.62770833,136515,58709,35158,24193,5448,1173,260,133.58333333333334,19945.333333333332,26931.25,101523.75,80743.66666666667,63741.83333333333,63977.916666666664,56418.166666666664,34975.916666666664,13117.416666666666,1616.4166666666665,2851.0,1798.0,3103.0,3266.0,94923.0,23939.0,2877.2
광진구,258684361.81256667,16021813.312091669,22635674.302408334,48383174.458574995,43295710.613633335,40071394.496325,37552217.1781,26763493.695916668,23960883.7176,62301,36380,27174,20794,4354,846,233,87.33333333333333,16905.166666666668,23133.666666666668,57019.666666666664,50514.0,46952.08333333333,49450.916666666664,39926.33333333333,20246.333333333332,8428.416666666666,1127.0,207.0,1004.0,1394.0,2141.0,49502.0,14033.0,1315.5
구로구,279176567.4190333,21166689.975825,21244863.032041665,36985635.94725,48350328.07500833,47719723.125483334,41858702.0835,31989167.382275,29861457.7625,49613,44112,33041,24459,5475,1119,276,65.83333333333333,21995.75,25900.416666666664,48531.08333333333,53106.08333333333,54187.0,55660.5,50821.416666666664,28613.416666666664,10724.833333333334,1352.25,420.0,1160.0,1467.0,3097.0,51312.0,11901.0,1644.9
금천구,159620342.65950832,8063364.9736583335,9202499.938766668,25437915.832433335,30879138.016008332,27289634.204666667,25556966.282008335,18029696.857166667,15161126.556008333,42334,26331,18226,12863,2913,592,169,63.166666666666664,10984.916666666666,13056.75,34054.583333333336,32898.916666666664,29431.166666666664,36278.25,31237.083333333332,16450.166666666668,6163.916666666667,798.7499999999999,598.0,874.0,807.0,2300.0,34449.0,9065.0,811.7
노원구,370898485.195625,28621218.496775,45825370.16821667,49124594.90748333,45085144.63075,57079419.68145833,56211546.17183333,43067967.0352,45883224.118575,56438,54201,45680,37794,7101,1209,272,132.25,28950.416666666668,47122.666666666664,65397.83333333333,58315.833333333336,76503.41666666667,79923.58333333333,63923.58333333333,34221.666666666664,15595.833333333334,2316.6666666666665,270.0,581.0,1777.0,3599.0,41563.0,14609.0,1587.0
도봉구,200701030.21325833,13905074.147583334,17987930.934750002,24278225.984425,25939617.026483335,29561317.736725,32253718.732158333,27278391.428999998,29496754.22005833,34884,37166,28658,21089,4478,856,231,117.16666666666666,16239.666666666666,22733.666666666668,38811.33333333333,36446.58333333333,43121.75,51543.333333333336,46564.25,25249.583333333332,11089.25,1535.1666666666667,276.0,625.0,997.0,2440.0,28429.0,7358.0,771.8
동대문구,250643354.97997501,14891392.760283334,19840337.804166667,45401854.15295,37340338.571025,37116844.6553,35980621.10666666,28606657.19465833,31465308.729650002,60925,36819,27120,19528,4653,1062,266,112.16666666666667,18282.916666666664,21221.083333333332,51568.333333333336,45160.666666666664,45360.833333333336,48086.83333333333,43141.0,25266.666666666664,10826.166666666666,1343.8333333333333,836.0,1142.0,1174.0,2392.0,49376.0,12614.0,1632.7
동작구,275524057.4499083,18834995.5786,21787745.133541666,49160393.66438334,45380807.58614167,41654307.62748333,37377865.04813333,29857869.527925,31470073.264891665,64101,41489,31918,23829,5153,1044,226,162.83333333333331,21696.25,25005.25,60016.916666666664,56284.416666666664,53068.5,53171.25,45915.25,27219.25,11277.5,1629.8333333333335,600.0,540.0,1584.0,2616.0,37912.0,11587.0,1550.2
마포구,320070610.75838333,19034531.185833335,24991026.696900003,61230973.771958336,62911004.79665,55924949.7084,41358014.1037,27181061.88945,27439048.591941666,63172,40569,29490,21726,4654,851,219,132.41666666666666,22144.25,25688.75,56560.666666666664,58550.666666666664,55321.75,50068.25,37160.916666666664,21737.25,10357.5,1473.4166666666667,744.0,944.0,2772.0,2431.0,95801.0,23024.0,1786.8
서대문구,258136765.10211664,16110040.408283332,21770853.129125,46395872.427208334,41991853.48365,41159616.9484,36950523.957875,25812509.795208335,27945494.922025,49863,33611,25595,18769,4222,860,192,132.16666666666666,17770.083333333332,21085.583333333332,45344.5,40794.916666666664,42259.33333333333,44710.33333333333,36003.08333333333,21651.416666666664,10547.666666666666,1435.5,360.0,735.0,1421.0,2305.0,45626.0,14146.0,1412.1
서초구,405665864.54584163,28648694.220941667,37307508.37956667,56231708.51254167,72661232.3982,78337997.09305833,57887630.36119167,39103214.834466666,35487878.69116666,43942,38867,34840,30091,6593,1412,374,123.91666666666667,29849.0,41113.0,48978.166666666664,56017.083333333336,69722.08333333333,57708.75,44085.416666666664,24864.166666666664,9192.0,1617.5833333333333,824.0,1349.0,3233.0,3774.0,79268.0,27400.0,776.5
성동구,248277536.16686666,16462310.546924999,17522930.985458333,41186503.009375,45960937.65670833,41173928.561975,35988671.28661667,25566973.416091666,24415280.64710833,42585,32368,25023,17568,3655,781,202,97.75,18075.25,17699.75,40529.583333333336,43658.333333333336,40305.833333333336,42727.83333333333,34206.583333333336,18607.583333333332,8079.416666666667,1053.0833333333333,261.0,492.0,1283.0,2436.0,39656.0,10554.0,1671.3
성북구,303595328.2362667,23191245.96846667,31321955.2434,48945647.30359166,41633635.092075,46295123.316533335,43130688.68245,32518290.689308334,36558741.883666664,61510,45693,36539,27954,6373,1272,319,136.66666666666666,25833.333333333332,33527.416666666664,60628.166666666664,54217.25,62852.08333333333,63445.33333333333,51479.916666666664,30118.25,13447.25,1847.6666666666667,96.0,776.0,1478.0,3288.0,46572.0,13285.0,951.8
송파구,536633999.71475,43304391.75,50898011.33539166,70941351.83358334,93910430.75666666,91645290.25029166,77884502.68641667,59113790.96095,48936230.003141664,73694,66503,57189,46703,9457,1803,417,130.66666666666666,44850.25,53146.0,84325.91666666666,98731.83333333333,98772.83333333333,93119.08333333333,79088.75,37483.833333333336,13363.333333333334,2308.1666666666665,1145.0,1877.0,3139.0,4492.0,78244.0,26811.0,2382.6
양천구,280456423.04600835,24340859.76605,37941719.055874996,31580520.725266665,37425054.1117,48211448.91893333,41608233.606175,30570722.284091666,28777864.465741668,39436,43102,40503,34789,6743,1195,273,84.08333333333333,27941.0,45780.5,53605.0,51867.666666666664,71096.33333333333,69863.08333333333,54505.833333333336,26507.166666666668,10143.833333333334,1550.3333333333333,60.0,854.0,1686.0,2907.0,37910.0,11813.0,1567.8
영등포구,334476590.7184917,19012718.777525,20054675.8347,51717340.93745,70023751.30224167,59315110.460775,49788893.966725,34041660.066991664,30522439.361391664,64000,40926,30371,21651,4321,916,202,97.41666666666667,23191.75,21895.416666666664,54141.25,63557.75,51202.83333333333,51697.5,43832.83333333333,24735.5,10693.5,1397.0833333333333,1915.0,2632.0,1947.0,3724.0,75415.0,22123.0,1974.0
용산구,203338398.13193333,10187263.053675,13098327.6654,32573287.69455,41421305.68235,36597068.895425,29404969.734300002,20156445.2997,19899730.099716667,36881,25941,17655,11733,2812,565,102,130.83333333333334,11956.5,13818.833333333334,30542.5,34835.166666666664,31736.0,33463.916666666664,26614.833333333332,15073.666666666668,7842.0,1320.1666666666665,332.0,1213.0,1299.0,1841.0,53848.0,11047.0,973.0
은평구,317682304.7141583,23358041.377825,30387476.822625,40010756.83225,47597521.95161667,50854188.56618333,47416821.600491665,37037338.35148333,41020159.156391665,57853,54542,40464,29125,6928,1387,329,237.58333333333331,26035.416666666664,34572.33333333333,60632.75,61700.166666666664,68699.41666666667,70561.66666666667,60514.666666666664,35551.666666666664,15144.916666666666,1894.75,1004.0,1616.0,2124.0,3023.0,45979.0,13861.0,1970.1999999999998
종로구,194691454.290825,7249075.953091666,13167308.624125,33357302.196083333,32547487.4221,34059031.59786667,31653074.3009,21503384.139825,21154790.071316667,25983,16281,10882,7679,2027,440,110,85.16666666666667,6612.333333333333,9778.916666666666,21162.416666666668,17981.416666666668,19650.583333333332,22961.5,18543.5,10902.583333333332,5544.083333333333,892.9166666666666,2517.0,1553.0,1367.0,2284.0,83493.0,19170.0,738.5999999999999
중구,178064104.50609165,5721391.669658333,7095912.688124999,29100126.24025,38169414.098574996,34994939.429016665,28743090.67595,18467429.221699998,15771800.465433333,22818,14978,9301,6134,1425,345,73,86.08333333333333,5942.5,6075.25,16822.75,18277.916666666668,16183.916666666666,18582.166666666668,16365.25,9530.083333333334,4463.833333333334,763.0833333333334,2788.0,1068.0,1806.0,2313.0,74234.0,26791.0,712.8
중랑구,256549386.42705,17994533.422650002,19765816.040733334,33614337.208791666,38505644.05239166,38392284.139575,42529573.435891666,32993738.64823333,32753459.390866667,56605,45576,32612,23295,5344,1107,293,94.66666666666667,20137.333333333332,23764.166666666664,50597.666666666664,52412.25,51760.83333333333,62558.166666666664,54889.75,28625.416666666664,11228.583333333334,1476.4166666666665,270.0,1235.0,1135.0,2546.0,43654.0,9498.0,1924.0
